distance from coast,water type,site,reference,d18O,dD,elevation (m),elevation (km),township and range,latitude,longitude,notes
,GW,Black Chasm,Oster et al. (2012),-10.18,-69,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.5,-72.2,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.28,-71.1,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-10.37,-69.9,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.89,-68.8,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.83,-68.2,676,0.676,,38.43,-120.63,
,GW,Black Chasm,Oster et al. (2012),-9.36,-65.7,676,0.676,,38.43,-120.63,
well no.,,,,,,,,,,,
1,GW,Sacramento Valley,Davisson and Criss (1993),-6.3,,14,0.014,1,38.550122,-121.7449,
EM2,GW,Sacramento Valley,Davisson and Criss (1993),-7,,9,0.009,EM2,38.538227,-121.686236,
ND,GW,Sacramento Valley,Davisson and Criss (1993),-6.1,,16,0.016,ND,38.58997,-121.771723,
7,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,,13,0.013,7,38.554438,-121.741039,
11,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,,12,0.012,11,38.558868,-121.744686,
12,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,,15,0.015,12,38.554036,-121.765629,
13,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,12,0.012,13,38.559338,-121.734387,
14,GW,Sacramento Valley,Davisson and Criss (1993),-6.8,,12,0.012,14,38.551217,-121.731168,
15,GW,Sacramento Valley,Davisson and Criss (1993),,,12,0.012,15,38.56261,-121.720182,
16,GW,Sacramento Valley,Davisson and Criss (1993),-6.6,,9,0.009,16,38.542758,-121.709839,
18,GW,Sacramento Valley,Davisson and Criss (1993),-6.1,,16,0.016,18,38.548901,-121.78537,
19,GW,Sacramento Valley,Davisson and Criss (1993),-7.3,,13,0.013,19,38.567626,-121.756896,
20,GW,Sacramento Valley,Davisson and Criss (1993),-6.2,,16,0.016,20,38.549154,-121.778482,
21,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,,9,0.009,21,38.553599,-121.688768,
22,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,,12,0.012,22,38.558231,-121.714774,
23,GW,Sacramento Valley,Davisson and Criss (1993),-6.5,,14,0.014,23,38.547332,-121.747304,
24,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,13,0.013,24,38.543648,-121.731769,
25,GW,Sacramento Valley,Davisson and Criss (1993),-7.3,,16,0.016,25,38.555177,-121.783739,
26,GW,Sacramento Valley,Davisson and Criss (1993),,,12,0.012,26,38.547357,-121.716105,
27,GW,Sacramento Valley,Davisson and Criss (1993),,,15,0.015,27,38.569556,-121.766916,
,,,,,,,,,,,
1,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,-49,14,0.014,1,38.550122,-121.7449,
EM2,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,-53,9,0.009,EM2,38.538227,-121.686236,
ND,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,16,0.016,ND,38.58997,-121.771723,
7,GW,Sacramento Valley,Davisson and Criss (1993),-6.8,,13,0.013,7,38.554438,-121.741039,
11,GW,Sacramento Valley,Davisson and Criss (1993),-6.8,,12,0.012,11,38.558868,-121.744686,
12,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-51,15,0.015,12,38.554036,-121.765629,
13,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-49,12,0.012,13,38.559338,-121.734387,
14,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,,12,0.012,14,38.551217,-121.731168,
15,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,,12,0.012,15,38.56261,-121.720182,
16,GW,Sacramento Valley,Davisson and Criss (1993),,,9,0.009,16,38.542758,-121.709839,
18,GW,Sacramento Valley,Davisson and Criss (1993),-6.4,,16,0.016,18,38.548901,-121.78537,
19,GW,Sacramento Valley,Davisson and Criss (1993),-7.3,,13,0.013,19,38.567626,-121.756896,
20,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,,16,0.016,20,38.549154,-121.778482,
21,GW,Sacramento Valley,Davisson and Criss (1993),-7.3,,9,0.009,21,38.553599,-121.688768,
22,GW,Sacramento Valley,Davisson and Criss (1993),-7,,12,0.012,22,38.558231,-121.714774,
23,GW,Sacramento Valley,Davisson and Criss (1993),-6.6,,14,0.014,23,38.547332,-121.747304,
24,GW,Sacramento Valley,Davisson and Criss (1993),-6.8,,13,0.013,24,38.543648,-121.731769,
25,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,,16,0.016,25,38.555177,-121.783739,
26,GW,Sacramento Valley,Davisson and Criss (1993),,,12,0.012,26,38.547357,-121.716105,
27,GW,Sacramento Valley,Davisson and Criss (1993),,,15,0.015,27,38.569556,-121.766916,
,,,,,,,,,,,
1,GW,Sacramento Valley,Davisson and Criss (1993),-6.6,-47,14,0.014,1,38.550122,-121.7449,
EM2,GW,Sacramento Valley,Davisson and Criss (1993),-7.6,-55,9,0.009,EM2,38.538227,-121.686236,
ND,GW,Sacramento Valley,Davisson and Criss (1993),-6.1,-48,16,0.016,ND,38.58997,-121.771723,
7,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-48,13,0.013,7,38.554438,-121.741039,
11,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-50,12,0.012,11,38.558868,-121.744686,
12,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,-48,15,0.015,12,38.554036,-121.765629,
13,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,-48,12,0.012,13,38.559338,-121.734387,
14,GW,Sacramento Valley,Davisson and Criss (1993),-7,-50,12,0.012,14,38.551217,-121.731168,
15,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-48,12,0.012,15,38.56261,-121.720182,
16,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-50,9,0.009,16,38.542758,-121.709839,
18,GW,Sacramento Valley,Davisson and Criss (1993),-6.2,-46,16,0.016,18,38.548901,-121.78537,
19,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,-50,13,0.013,19,38.567626,-121.756896,
20,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,-50,16,0.016,20,38.549154,-121.778482,
21,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,-50,9,0.009,21,38.553599,-121.688768,
22,GW,Sacramento Valley,Davisson and Criss (1993),-7,-52,12,0.012,22,38.558231,-121.714774,
23,GW,Sacramento Valley,Davisson and Criss (1993),-6.6,-50,14,0.014,23,38.547332,-121.747304,
24,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-49,13,0.013,24,38.543648,-121.731769,
25,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,-53,16,0.016,25,38.555177,-121.783739,
26,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-48,12,0.012,26,38.547357,-121.716105,
27,GW,Sacramento Valley,Davisson and Criss (1993),,,15,0.015,27,38.569556,-121.766916,
,,,,,,,,,,,
1,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,,14,0.014,1,38.550122,-121.7449,
EM2,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,9,0.009,EM2,38.538227,-121.686236,
ND,GW,Sacramento Valley,Davisson and Criss (1993),-6.1,,16,0.016,ND,38.58997,-121.771723,
7,GW,Sacramento Valley,Davisson and Criss (1993),,,13,0.013,7,38.554438,-121.741039,
11,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,,12,0.012,11,38.558868,-121.744686,
12,GW,Sacramento Valley,Davisson and Criss (1993),-7,-52,15,0.015,12,38.554036,-121.765629,
13,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,12,0.012,13,38.559338,-121.734387,
14,GW,Sacramento Valley,Davisson and Criss (1993),,,12,0.012,14,38.551217,-121.731168,
15,GW,Sacramento Valley,Davisson and Criss (1993),-6.8,,12,0.012,15,38.56261,-121.720182,
16,GW,Sacramento Valley,Davisson and Criss (1993),-6.6,,9,0.009,16,38.542758,-121.709839,
18,GW,Sacramento Valley,Davisson and Criss (1993),-6.2,,16,0.016,18,38.548901,-121.78537,
19,GW,Sacramento Valley,Davisson and Criss (1993),-7.5,,13,0.013,19,38.567626,-121.756896,
20,GW,Sacramento Valley,Davisson and Criss (1993),-7,,16,0.016,20,38.549154,-121.778482,
21,GW,Sacramento Valley,Davisson and Criss (1993),-7.6,,9,0.009,21,38.553599,-121.688768,
22,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,,12,0.012,22,38.558231,-121.714774,
23,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,14,0.014,23,38.547332,-121.747304,
24,GW,Sacramento Valley,Davisson and Criss (1993),-7,,13,0.013,24,38.543648,-121.731769,
25,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,,16,0.016,25,38.555177,-121.783739,
26,GW,Sacramento Valley,Davisson and Criss (1993),-7.3,,12,0.012,26,38.547357,-121.716105,
27,GW,Sacramento Valley,Davisson and Criss (1993),,,15,0.015,27,38.569556,-121.766916,
,,,,,,,,,,,
1,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,-50,14,0.014,1,38.550122,-121.7449,
EM2,GW,Sacramento Valley,Davisson and Criss (1993),-7.5,-51,9,0.009,EM2,38.538227,-121.686236,
ND,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-53,16,0.016,ND,38.58997,-121.771723,
7,GW,Sacramento Valley,Davisson and Criss (1993),,,13,0.013,7,38.554438,-121.741039,
11,GW,Sacramento Valley,Davisson and Criss (1993),-7,-47,12,0.012,11,38.558868,-121.744686,
12,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,-46,15,0.015,12,38.554036,-121.765629,
13,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-47,12,0.012,13,38.559338,-121.734387,
14,GW,Sacramento Valley,Davisson and Criss (1993),,,12,0.012,14,38.551217,-121.731168,
15,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,-50,12,0.012,15,38.56261,-121.720182,
16,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-50,9,0.009,16,38.542758,-121.709839,
18,GW,Sacramento Valley,Davisson and Criss (1993),-6.2,-43,16,0.016,18,38.548901,-121.78537,
19,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,-53,13,0.013,19,38.567626,-121.756896,
20,GW,Sacramento Valley,Davisson and Criss (1993),-7,-50,16,0.016,20,38.549154,-121.778482,
21,GW,Sacramento Valley,Davisson and Criss (1993),-7.7,-54,9,0.009,21,38.553599,-121.688768,
22,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-51,12,0.012,22,38.558231,-121.714774,
23,GW,Sacramento Valley,Davisson and Criss (1993),,,14,0.014,23,38.547332,-121.747304,
24,GW,Sacramento Valley,Davisson and Criss (1993),,,13,0.013,24,38.543648,-121.731769,
25,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,-53,16,0.016,25,38.555177,-121.783739,
26,GW,Sacramento Valley,Davisson and Criss (1993),,,12,0.012,26,38.547357,-121.716105,
27,GW,Sacramento Valley,Davisson and Criss (1993),,,15,0.015,27,38.569556,-121.766916,
,,,,,,,,,,,
1,GW,Sacramento Valley,Davisson and Criss (1993),-6.8,,14,0.014,1,38.550122,-121.7449,
EM2,GW,Sacramento Valley,Davisson and Criss (1993),-6.8,,9,0.009,EM2,38.538227,-121.686236,
ND,GW,Sacramento Valley,Davisson and Criss (1993),-6.1,,16,0.016,ND,38.58997,-121.771723,
7,GW,Sacramento Valley,Davisson and Criss (1993),-7,,13,0.013,7,38.554438,-121.741039,
11,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,,12,0.012,11,38.558868,-121.744686,
12,GW,Sacramento Valley,Davisson and Criss (1993),-7,-50,15,0.015,12,38.554036,-121.765629,
13,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,12,0.012,13,38.559338,-121.734387,
14,GW,Sacramento Valley,Davisson and Criss (1993),,,12,0.012,14,38.551217,-121.731168,
15,GW,Sacramento Valley,Davisson and Criss (1993),-7,,12,0.012,15,38.56261,-121.720182,
16,GW,Sacramento Valley,Davisson and Criss (1993),-7,,9,0.009,16,38.542758,-121.709839,
18,GW,Sacramento Valley,Davisson and Criss (1993),-6.2,,16,0.016,18,38.548901,-121.78537,
19,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,,13,0.013,19,38.567626,-121.756896,
20,GW,Sacramento Valley,Davisson and Criss (1993),-7,,16,0.016,20,38.549154,-121.778482,
21,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,,9,0.009,21,38.553599,-121.688768,
22,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,12,0.012,22,38.558231,-121.714774,
23,GW,Sacramento Valley,Davisson and Criss (1993),,,14,0.014,23,38.547332,-121.747304,
24,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,13,0.013,24,38.543648,-121.731769,
25,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,,16,0.016,25,38.555177,-121.783739,
26,GW,Sacramento Valley,Davisson and Criss (1993),,,12,0.012,26,38.547357,-121.716105,
27,GW,Sacramento Valley,Davisson and Criss (1993),,,15,0.015,27,38.569556,-121.766916,
,,,,,,,,,,,
1,GW,Sacramento Valley,Davisson and Criss (1993),-6.8,-48,14,0.014,1,38.550122,-121.7449,
EM2,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-47,9,0.009,EM2,38.538227,-121.686236,
ND,GW,Sacramento Valley,Davisson and Criss (1993),-6.2,-45,16,0.016,ND,38.58997,-121.771723,
7,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-49,13,0.013,7,38.554438,-121.741039,
11,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-48,12,0.012,11,38.558868,-121.744686,
12,GW,Sacramento Valley,Davisson and Criss (1993),-7,-49,15,0.015,12,38.554036,-121.765629,
13,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,12,0.012,13,38.559338,-121.734387,
14,GW,Sacramento Valley,Davisson and Criss (1993),-7,-48,12,0.012,14,38.551217,-121.731168,
15,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-51,12,0.012,15,38.56261,-121.720182,
16,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-50,9,0.009,16,38.542758,-121.709839,
18,GW,Sacramento Valley,Davisson and Criss (1993),-6.3,-46,16,0.016,18,38.548901,-121.78537,
19,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,-52,13,0.013,19,38.567626,-121.756896,
20,GW,Sacramento Valley,Davisson and Criss (1993),-7.3,-49,16,0.016,20,38.549154,-121.778482,
21,GW,Sacramento Valley,Davisson and Criss (1993),-7.5,-53,9,0.009,21,38.553599,-121.688768,
22,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-49,12,0.012,22,38.558231,-121.714774,
23,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-46,14,0.014,23,38.547332,-121.747304,
24,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-46,13,0.013,24,38.543648,-121.731769,
25,GW,Sacramento Valley,Davisson and Criss (1993),-7.3,-49,16,0.016,25,38.555177,-121.783739,
26,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-49,12,0.012,26,38.547357,-121.716105,
27,GW,Sacramento Valley,Davisson and Criss (1993),,,15,0.015,27,38.569556,-121.766916,
,,,,,,,,,,,
1,GW,Sacramento Valley,Davisson and Criss (1993),-6.6,,14,0.014,1,38.550122,-121.7449,
EM2,GW,Sacramento Valley,Davisson and Criss (1993),-7.6,,9,0.009,EM2,38.538227,-121.686236,
ND,GW,Sacramento Valley,Davisson and Criss (1993),-6.1,,16,0.016,ND,38.58997,-121.771723,
7,GW,Sacramento Valley,Davisson and Criss (1993),-7.3,,13,0.013,7,38.554438,-121.741039,
11,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,,12,0.012,11,38.558868,-121.744686,
12,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,15,0.015,12,38.554036,-121.765629,
13,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,,12,0.012,13,38.559338,-121.734387,
14,GW,Sacramento Valley,Davisson and Criss (1993),-7,,12,0.012,14,38.551217,-121.731168,
15,GW,Sacramento Valley,Davisson and Criss (1993),-7.5,,12,0.012,15,38.56261,-121.720182,
16,GW,Sacramento Valley,Davisson and Criss (1993),-7,,9,0.009,16,38.542758,-121.709839,
18,GW,Sacramento Valley,Davisson and Criss (1993),-6.2,,16,0.016,18,38.548901,-121.78537,
19,GW,Sacramento Valley,Davisson and Criss (1993),-7.5,,13,0.013,19,38.567626,-121.756896,
20,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,,16,0.016,20,38.549154,-121.778482,
21,GW,Sacramento Valley,Davisson and Criss (1993),-7.3,,9,0.009,21,38.553599,-121.688768,
22,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,,12,0.012,22,38.558231,-121.714774,
23,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,,14,0.014,23,38.547332,-121.747304,
24,GW,Sacramento Valley,Davisson and Criss (1993),-6.8,,13,0.013,24,38.543648,-121.731769,
25,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,,16,0.016,25,38.555177,-121.783739,
26,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,,12,0.012,26,38.547357,-121.716105,
27,GW,Sacramento Valley,Davisson and Criss (1993),,,15,0.015,27,38.569556,-121.766916,
,,,,,,,,,,,
1,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,-50,14,0.014,1,38.550122,-121.7449,
EM2,GW,Sacramento Valley,Davisson and Criss (1993),-7.3,-49,9,0.009,EM2,38.538227,-121.686236,
ND,GW,Sacramento Valley,Davisson and Criss (1993),-6,-43,16,0.016,ND,38.58997,-121.771723,
7,GW,Sacramento Valley,Davisson and Criss (1993),-7,-47,13,0.013,7,38.554438,-121.741039,
11,GW,Sacramento Valley,Davisson and Criss (1993),-7,-48,12,0.012,11,38.558868,-121.744686,
12,GW,Sacramento Valley,Davisson and Criss (1993),-7,-50,15,0.015,12,38.554036,-121.765629,
13,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-50,12,0.012,13,38.559338,-121.734387,
14,GW,Sacramento Valley,Davisson and Criss (1993),-6.8,-45,12,0.012,14,38.551217,-121.731168,
15,GW,Sacramento Valley,Davisson and Criss (1993),-7.3,-54,12,0.012,15,38.56261,-121.720182,
16,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-48,9,0.009,16,38.542758,-121.709839,
18,GW,Sacramento Valley,Davisson and Criss (1993),-6.3,-46,16,0.016,18,38.548901,-121.78537,
19,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,-53,13,0.013,19,38.567626,-121.756896,
20,GW,Sacramento Valley,Davisson and Criss (1993),-6.5,-48,16,0.016,20,38.549154,-121.778482,
21,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,-52,9,0.009,21,38.553599,-121.688768,
22,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-52,12,0.012,22,38.558231,-121.714774,
23,GW,Sacramento Valley,Davisson and Criss (1993),-6.6,-44,14,0.014,23,38.547332,-121.747304,
24,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-51,13,0.013,24,38.543648,-121.731769,
25,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,-52,16,0.016,25,38.555177,-121.783739,
26,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-49,12,0.012,26,38.547357,-121.716105,
27,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,-48,15,0.015,27,38.569556,-121.766916,
,,,,,,,,,,,
1,GW,Sacramento Valley,Davisson and Criss (1993),-6.6,-50,14,0.014,1,38.550122,-121.7449,
EM2,GW,Sacramento Valley,Davisson and Criss (1993),-6.6,-46,9,0.009,EM2,38.538227,-121.686236,
ND,GW,Sacramento Valley,Davisson and Criss (1993),-6.3,-48,16,0.016,ND,38.58997,-121.771723,
7,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-46,13,0.013,7,38.554438,-121.741039,
11,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-50,12,0.012,11,38.558868,-121.744686,
12,GW,Sacramento Valley,Davisson and Criss (1993),-7,-52,15,0.015,12,38.554036,-121.765629,
13,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-47,12,0.012,13,38.559338,-121.734387,
14,GW,Sacramento Valley,Davisson and Criss (1993),-6.9,-50,12,0.012,14,38.551217,-121.731168,
15,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,-49,12,0.012,15,38.56261,-121.720182,
16,GW,Sacramento Valley,Davisson and Criss (1993),-6.6,-49,9,0.009,16,38.542758,-121.709839,
18,GW,Sacramento Valley,Davisson and Criss (1993),-6.3,-47,16,0.016,18,38.548901,-121.78537,
19,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,-52,13,0.013,19,38.567626,-121.756896,
20,GW,Sacramento Valley,Davisson and Criss (1993),-6.3,-43,16,0.016,20,38.549154,-121.778482,
21,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,-54,9,0.009,21,38.553599,-121.688768,
22,GW,Sacramento Valley,Davisson and Criss (1993),-7.1,-52,12,0.012,22,38.558231,-121.714774,
23,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,-46,14,0.014,23,38.547332,-121.747304,
24,GW,Sacramento Valley,Davisson and Criss (1993),-6.7,-48,13,0.013,24,38.543648,-121.731769,
25,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,-54,16,0.016,25,38.555177,-121.783739,
26,GW,Sacramento Valley,Davisson and Criss (1993),-7.2,-49,12,0.012,26,38.547357,-121.716105,
27,GW,Sacramento Valley,Davisson and Criss (1993),-7.4,-49,15,0.015,27,38.569556,-121.766916,
,,,,,,,,,,,
,creek,Putah Creek,Davisson and Criss (1993),-5.7,-40,13,0.013,,38.52,-121.77,location not given
,creek,Putah Creek,Davisson and Criss (1993),-3.1,-28,13,0.013,,38.52,-121.77,location not given
,river,Sacramento River,Davisson and Criss (1993),-11,-83,0,0,,38.55,-121.58,location not given
,,,,,,,,,,,
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-2.95,-29,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-7.75,-60,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-8.85,-74,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-6.65,-53,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-8.05,-57.5,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-8.75,-60.5,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-13.5,-105.5,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-15,-111,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-14.2,-112.5,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-2,-36.5,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-7.05,-54.5,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-9.45,-62.5,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-15.65,-117.5,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-10.3,-78,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-11.4,-85.5,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-8.7,-67.5,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-13.35,-98.5,1182,1.182,,39.95,-119.6,location not given
,rain,"Sutcliffe, Pyramid Lake",Benson and White (1994),-9.8,-75,1182,1.182,,39.95,-119.6,location not given
,,,,,,,,,,,
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-15.3,-114.5,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-21.2,-152,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-19.4,-133.5,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-12.2,-103.5,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-12.8,-97.5,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-17.8,-122,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-22.4,-140.5,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-16.4,-98.5,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-18.6,-117,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-18.2,-118,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-17.9,-127,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-17.6,-122,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-16.9,-131,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-15.4,-108,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-19.2,-130.5,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-15,-108.5,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-20.6,-153,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-16.8,-127.5,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-18.4,-135,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-16,-117,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-18.2,-125,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-12.9,-103.5,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-13.5,-112.5,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-14,-110,1182,1.182,,39.95,-119.6,location not given
,vapor,"Sutcliffe, Pyramid Lake",Benson and White (1994),-13.6,-107.5,1182,1.182,,39.95,-119.6,location not given
,,,,,,,,,,,
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.8,-31.5,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.85,-31.5,1182,1.182,,39.95,-119.6,location not given
